bill_id,bill_type,submit_diet_no,bill_no,bill_subject,status,submit_person,submit_parties,representatives_accept_date,representatives_finish_date,representatives_deliveration_result,councilors_accept_date,councilors_finish_date,councilors_deliveration_result,promulgation_date,body_link
10,衆法,208,22,戦争等避難者に係る出入国管理及び難民認定法の特例等に関する法律案,衆議院で審議中,鈴木　庸介君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805022.htm
11,衆法,208,23,所得税法等の一部を改正する法律の一部を改正する法律案,衆議院で審議中,末松　義規君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805023.htm
12,衆法,208,24,新型コロナウイルス感染症等の影響を受けている中小事業者に対する金融の円滑化の促進に関する法律案,衆議院で審議中,落合　貴之君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805024.htm
13,衆法,208,28,保育等従業者の人材確保のための処遇の改善等に関する特別措置法案,衆議院で審議中,岡本　あき子君外十二名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805028.htm
14,衆法,208,30,介護・障害福祉従事者の人材確保に関する特別措置法案,撤回,早稲田　ゆき君外十六名,立憲民主党・無所属,,2024-04-10,撤回許可,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805030.htm
15,衆法,208,32,現下の物価の高騰による国民生活及び国民経済への悪影響を緩和するために講ずべき国民負担の軽減等に関する措置に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805032.htm
16,衆法,208,34,日本国憲法の改正手続に関する法律の一部を改正する法律案,衆議院で審議中,逢沢　一郎君外三名,自由民主党; 日本維新の会; 公明党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805034.htm
17,衆法,208,35,自動車産業における脱炭素化の推進に関する法律案,衆議院で審議中,重徳　和彦君外十五名,立憲民主党・無所属; 国民民主党・無所属クラブ; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805035.htm
18,衆法,208,36,インターネット誹謗中傷対策の推進に関する法律案,衆議院で審議中,岩谷　良平君外四名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805036.htm
19,衆法,208,39,公職選挙法及び地方自治法の一部を改正する法律案,衆議院で審議中,落合　貴之君外四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805039.htm
20,衆法,208,40,公職の候補者となる労働者の雇用の継続の確保のための立候補休暇に関する法律案,衆議院で審議中,落合　貴之君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805040.htm
21,衆法,208,44,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,衆議院で審議中,金子　恵美君外四名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805044.htm
22,衆法,208,45,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で審議中,金子　恵美君外四名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805045.htm
23,衆法,208,46,中小企業正規労働者雇入臨時助成金の支給に関する法律案,衆議院で審議中,後藤　祐一君外八名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805046.htm
24,衆法,208,47,地方自治法の一部を改正する法律案,衆議院で審議中,中司　宏君外四名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805047.htm
